run encryption program; original message = 
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
pt_no =  0
LFSR_ptrn = 0x60, LFSR_init = 0x01
         14 bench msg: E 25 dut msg: 4e  OOPS!
         15 bench msg: J 2a dut msg: 4f  OOPS!
         16 bench msg: T 34 dut msg: 50  OOPS!
         17 bench msg: ( 08 dut msg: 51  OOPS!
         18 bench msg: ‘ 71 dut msg: 52  OOPS!
         19 bench msg: # 03 dut msg: 53  OOPS!
         20 bench msg: ‡ 67 dut msg: 54  OOPS!
         21 bench msg: O 2f dut msg: 55  OOPS!
         22 bench msg: ^ 3e dut msg: 56  OOPS!
         23 bench msg: < 1c dut msg: 57  OOPS!
         24 bench msg: y 59 dut msg: 58  OOPS!
         25 bench msg: r 52 dut msg: 59  OOPS!
         26 bench msg: d 44 dut msg: 5a  OOPS!
         27 bench msg: ˆ 68 dut msg: 5b  OOPS!
         28 bench msg: Q 31 dut msg: 5c  OOPS!
         29 bench msg: " 02 dut msg: 5d  OOPS!
         30 bench msg: … 65 dut msg: 5e  OOPS!
         31 bench msg: K 2b dut msg: 5f  OOPS!
         32 bench msg: V 36 dut msg: 60  OOPS!
         33 bench msg: , 0c dut msg: 61  OOPS!
         34 bench msg: ™ 79 dut msg: 62  OOPS!
         35 bench msg: 3 13 dut msg: 63  OOPS!
         36 bench msg: g 47 dut msg: 64  OOPS!
         37 bench msg: Ž 6e dut msg: 65  OOPS!
         38 bench msg: ] 3d dut msg: 66  OOPS!
         39 bench msg: : 1a dut msg: 67  OOPS!
         40 bench msg: u 55 dut msg: 68  OOPS!
         41 bench msg: j 4a dut msg: 69  OOPS!
         42 bench msg: ” 74 dut msg: 6a  OOPS!
         43 bench msg: ) 09 dut msg: 6b  OOPS!
         44 bench msg: “ 73 dut msg: 6c  OOPS!
         45 bench msg: G 27 dut msg: 6d  OOPS!
         46 bench msg: o 4f dut msg: 6e  OOPS!
         47 bench msg: ? 1f dut msg: 6f  OOPS!
         48 bench msg: ^ 3e dut msg: 70  OOPS!
         49 bench msg:  7d dut msg: 71  OOPS!
         50 bench msg: š 7a dut msg: 72  OOPS!
         51 bench msg: ” 74 dut msg: 73  OOPS!
         52 bench msg: ˆ 68 dut msg: 74  OOPS!
         53 bench msg: p 50 dut msg: 75  OOPS!
         54 bench msg: A 21 dut msg: 76  OOPS!
         55 bench msg: c 43 dut msg: 77  OOPS!
         56 bench msg: ' 07 dut msg: 78  OOPS!
         57 bench msg: . 0e dut msg: 79  OOPS!
         58 bench msg: < 1c dut msg: 7a  OOPS!
         59 bench msg: X 38 dut msg: 7b  OOPS!
         60 bench msg: ‘ 71 dut msg: 7c  OOPS!
         61 bench msg: ‚ 62 dut msg: 7d  OOPS!
         62 bench msg: d 44 dut msg: 7e  OOPS!
         63 bench msg: ) 09 dut msg: 7f  OOPS!
score =           0/64
